funs,pkgs,relative_paths,urls,absolute_paths
ifelse,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
arrange,dplyr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
filter,dplyr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
group_by,dplyr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
is.na,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
mutate,dplyr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
row_number,dplyr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
pslide_index,slider,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
list,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
map2_dbl,purrr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
mean,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
is.nan,base,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
distinct,dplyr,rolling-mean-conditioned-date.R,NA,https://gist.githubusercontent.com/brshallo/4ffe9272a37044571915f66860b54329/raw/e1455827850273e8c11dda4012efda654f263cee/rolling-mean-conditioned-date.R
library,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
seq,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
map,purrr,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
unlist,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
set.seed,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
tibble,dplyr,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
sample,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
ymd,lubridate,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
days,lubridate,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
c,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
arrange,dplyr,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
mutate,dplyr,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
ifelse,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
max,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
filter,dplyr,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
is.na,base,rolling-mean-conditioned-on-iteration-date.R,NA,https://gist.githubusercontent.com/brshallo/4093106372afefdda5c2e223fc53a3fc/raw/c95f1ab4bb572bf75909aef11f46449184a3d2e1/rolling-mean-conditioned-on-iteration-date.R
